Soul_ID,Line_ID,Gear_Slot,Scope,Rarity,Effect_S3
S-THORNBACK-HEAD,THORNBACK,Head,Personal,Common,+5% Defense while above 50% HP (the plate holds).
S-THORNBACK-CHEST,THORNBACK,Chest,Local,Common,This armour's Defense ×1.35.
S-THORNBACK-GLOVES,THORNBACK,Gloves,Personal,Common,Attackers that hit you take 4% of their damage back (quills).
S-THORNBACK-FEET,THORNBACK,Feet,Team,Common,Allies take -3% damage while at full HP (dig in behind the boar).
S-DUSTHOUND-HEAD,DUSTHOUND,Head,Personal,Common,+4% Attack (a hunter's eye through the dust).
S-DUSTHOUND-CHEST,DUSTHOUND,Chest,Personal,Common,+5% Attack on the first turn of battle.
S-DUSTHOUND-GLOVES,DUSTHOUND,Gloves,Local,Common,This item's Attack contribution ×1.35.
S-DUSTHOUND-FEET,DUSTHOUND,Feet,Team,Common,Allies' debuffs on enemies last +1 turn on the first turn (opening harry).
S-BARROWMOLE-HEAD,BARROWMOLE,Head,Personal,Common,Debuffs on you expire 10% sooner (shake off the soil).
S-BARROWMOLE-CHEST,BARROWMOLE,Chest,Local,Common,This armour's Defense ×1.35.
S-BARROWMOLE-GLOVES,BARROWMOLE,Gloves,Personal,Common,+5% Defense (spade-callused guard).
S-BARROWMOLE-FEET,BARROWMOLE,Feet,Team,Common,Allies +4% Defense (everyone stands on packed earth).
S-BRAMBLEFAWN-HEAD,BRAMBLEFAWN,Head,Team,Common,Allies' healing received +4% (thorn-crown blessing).
S-BRAMBLEFAWN-CHEST,BRAMBLEFAWN,Chest,Personal,Common,+5% HP (green vigor).
S-BRAMBLEFAWN-GLOVES,BRAMBLEFAWN,Gloves,Personal,Common,Your damage-over-time effects deal +6% (thorns dig deeper).
S-BRAMBLEFAWN-FEET,BRAMBLEFAWN,Feet,Local,Common,This item's Defense contribution ×1.35.
S-NIGHTMARE-HEAD,NIGHTMARE,Head,Personal,Uncommon,+6% Attack vs targets with reduced Speed stages (run down the fleeing).
S-NIGHTMARE-CHEST,NIGHTMARE,Chest,Personal,Uncommon,+6% HP (half-here already).
S-NIGHTMARE-GLOVES,NIGHTMARE,Gloves,Local,Uncommon,This item's Attack contribution ×1.40.
S-NIGHTMARE-FEET,NIGHTMARE,Feet,Team,Uncommon,Allies deal +5% on the first turn (the chase begins at full gallop).
S-GOLGOTH-HEAD,GOLGOTH,Head,Personal,Uncommon,+6% Defense (stone does not flinch).
S-GOLGOTH-CHEST,GOLGOTH,Chest,Local,Uncommon,This armour's Defense ×1.40.
